DL_score,ML_score
0.0035441485,0.0
0.15932786,0.26688933
0.02775557,0.9970061
0.9999325,0.9970739
0.14736119,0.6019281
0.072437316,0.33008277
0.07641317,0.29076287
0.9881302,0.6107335
0.09451746,0.0
0.8225999,0.931138
0.09441889,0.9951916
0.999757,0.8212229
0.89742285,0.41894603
1.0,0.0
0.026172167,0.0
0.09952918,0.67575836
0.008073744,0.0
0.59343445,0.0
0.0050062425,0.0
0.06369891,0.781463
0.026381064,0.63539845
0.036248147,0.99692816
0.005006247,0.0
0.17478052,0.8697436
0.05145848,0.99701655
0.093680955,0.42080998
0.045257006,0.95670974
0.056268826,0.0
0.00464302,0.564213
0.005006252,0.95726305
0.07189837,0.98146224
0.019970559,0.108011425
0.9999988,0.98985857
0.12683554,0.0
0.13564858,0.0
0.08273068,0.9159698
0.3344015,0.0
0.13373551,0.0
0.15124853,0.40588292
0.018744923,0.92893845
0.1821905,0.0
0.019870337,0.8314333
0.06898381,0.8032177
0.82838404,0.41781786
0.038712624,0.0
0.061255604,0.11403889
0.1690965,0.0
0.19189501,0.8323843
0.1180086,0.0
0.050365184,0.0
0.045852736,0.0
0.15529837,0.9818194
0.1950511,0.0
0.042058844,0.021069031
0.1522227,0.04973
0.13228452,0.36742848
0.17003171,0.70351434
0.4471077,0.111198425
0.24073766,0.5091001
0.9900315,0.6273088
0.09831296,0.007231922
0.032921534,0.0
0.17435491,0.59882045
0.04724578,0.83184576
0.0708795,0.2508581
0.12539,0.21422768
0.822168,0.8958457
0.09424079,0.52914727
0.26687366,0.9286628
0.7891671,0.35586336
1.0,0.92425674
0.09410991,0.0
0.00095377484,0.99403363
0.2533767,0.5991563
0.112731345,0.0
0.021107504,0.8567697
0.028842332,0.98916537
0.03472851,0.17837614
0.021051973,0.0
0.07853302,0.0
0.09569375,0.8161112
0.16014655,0.9585206
0.053225726,0.9875288
0.9258891,0.9900018
1.0,0.90545785
0.11948289,0.0
0.99999845,0.9903116
0.21650596,0.0
0.05960661,0.3543707
0.048059236,0.9741751
0.14237294,0.0
1.0,0.94995755
0.005006252,0.9804499
0.99999917,0.33855873
0.33090907,0.0
0.2353468,0.0
0.22775427,0.0
0.0122897485,0.0
0.05448581,0.0
0.122450404,0.0
0.10119613,0.16819948
0.17640993,0.78505516
0.0382412,0.17804965
0.04529147,0.80454016
0.067059495,0.55850285
0.3008291,0.47718886
0.42983577,0.0
0.16930091,0.6839115
0.17115308,0.0
0.18497452,0.8587003
0.049064334,0.49667433
0.083938405,0.0
0.8148927,0.0
0.18673025,0.0
0.0050062495,0.7287246
0.19172658,0.0
0.032347705,0.9907374
0.7497452,0.9193076
0.088761196,0.70461386
0.06744876,0.1979909
0.054287177,0.5842665
0.1319837,0.10956085
0.33855996,0.029627936
0.17449117,0.15230355
0.9908331,0.0766928
0.03651239,0.19905752
0.3919235,0.0
0.18301734,0.008814212
0.99994195,0.0
0.11254036,0.0
0.14757255,0.0
0.19400743,0.0
0.48786452,0.0
0.073114425,0.9108756
0.0030827469,0.0
1.0,0.0
0.20474613,0.0
0.45922843,0.0
0.56048983,0.065110855
0.6925797,0.0
0.03482751,0.0
0.99992657,0.0
0.58376765,0.0
0.99392176,0.0
0.99999523,0.9361686
0.13408948,0.0
0.6646713,0.0
0.9999988,0.98219186
0.17765866,0.0
0.1467993,0.0
0.1311964,0.0
0.36566442,0.0
0.16992313,0.0
0.22969285,0.0
0.43561524,0.0
0.78079665,0.0
0.99999154,0.9863283
0.0050062444,0.9989943
0.15907244,0.99936706
0.2275621,0.59195596
0.7633172,0.034727942
0.104924954,0.0
0.9256594,0.3759067
0.09188128,0.0
0.99429446,0.2093491
0.25598225,0.9728661
0.34971774,0.0
1.0,0.9314181
0.20518756,0.0
0.08664635,0.71410227
0.999982,0.0
0.9972053,0.59826297
0.9642455,0.0
0.22066455,0.0
0.13989542,0.0
0.9977847,0.0
0.006512335,0.0
0.025893357,0.0
0.005006259,0.0
0.15397514,0.0
0.23688124,0.0
0.08579728,0.9948073
0.70307964,0.4105322
0.058783922,0.9132871
0.06637935,0.44530842
1.0,0.0
0.55027634,0.0
0.008629957,0.0
0.079498805,0.0
0.094497636,0.5971219
1.0,0.0
0.00406409,0.99202067
0.66559803,0.0
0.91208035,0.0
0.89043003,0.0
0.91674197,0.0
0.0047419937,0.0
0.6661846,0.987362
0.7575495,0.0
0.12760763,0.0
0.0050062397,0.0
0.9971732,0.0
0.36623698,0.0
0.32890856,0.0
0.9997429,0.32993862
0.03471078,0.040326197
0.22108969,0.0
0.00316223,0.55677027
0.5295827,0.0
0.12152381,0.0
0.0050062425,0.0
0.16809462,0.93170553
0.08264529,0.94270176
0.15223038,0.9572624
0.14736132,0.0
0.9971591,0.9353834
0.06411745,0.97370064
0.1473613,0.120950095
1.0,0.41317666
0.03707034,0.9275448
0.5109213,0.86862016
0.004215574,0.0
0.005006235,0.0
0.06352545,0.0
0.06873273,0.0
0.9999963,0.7644468
0.1396232,0.0
0.99824893,0.0
0.712752,0.0
0.98517424,0.0
0.40457293,0.0
0.06369182,0.0
0.2961538,0.0
0.0050062425,0.0
0.99469286,0.9915787
0.1950533,0.0
0.19455281,0.17644247
0.01820159,0.0
0.5051544,0.0
0.15666363,0.0
0.06495921,0.0
0.042625714,0.0
0.030519485,0.003669389
0.998858,0.8399201
0.108756006,0.8890825
0.2743825,0.19547756
0.865652,0.18780784
0.17051333,0.025181968
0.5335763,0.7705885
0.9492713,0.77741116
0.1054872,0.73094624
0.042917587,0.8319488
0.7666739,0.0
0.9486522,0.5431667
0.019529924,0.0
0.27367568,0.0
0.3883046,0.0
0.62426066,0.93680674
0.20562826,0.0
0.7094889,0.0
0.016833626,0.0
0.9999839,0.0
0.117151774,0.0
0.028440276,0.0
0.0026817697,0.24773017
0.04531496,0.96578115
0.005006247,0.858298
0.03307933,0.101406485
0.18765341,0.0
0.9202159,0.0
0.38465858,0.0
0.98298764,0.0
0.01870616,0.0
0.046710975,0.0
0.16798921,0.0
0.5908114,0.0
0.9983329,0.0
0.9935456,0.0
0.7241948,0.0
0.9477154,0.0
0.05210356,0.0
0.057273965,0.0
0.9999832,0.98655057
0.22262383,0.5174229
0.99999285,0.0
0.9876987,0.0
0.15484618,0.0
0.29919562,0.947738
0.12840804,0.0
0.0049855257,0.0
0.57065755,0.0
0.0050062425,0.0
0.08049897,0.0
0.16392048,0.0
0.27590343,0.96918505
1.0,0.0
0.9361125,0.0
0.116427615,0.0
0.08721414,0.0
0.20539497,0.0
0.017934797,0.0
0.0,0.9408709
0.278906,0.0
0.91683143,0.0
0.51162976,0.15771872
0.15435962,0.10748818
0.089735806,0.62658757
0.028326357,0.0
0.01463833,0.97268176
0.04859004,0.90875435
1.0,0.97273594
0.14322677,0.0
0.94983655,0.0
0.6197288,0.47592556
0.09452593,0.0
0.18715142,0.0
0.23561637,0.0
2.5951984e-05,0.70945615
1.0,0.9983708
0.22324492,0.9901135
0.38988927,0.0
0.9941572,0.0
0.9999958,0.9961125
0.05347697,0.0
0.8637689,0.99771166
0.10166328,0.67095
0.03901297,0.83791286
0.08550872,0.16473459
0.031611744,0.0
0.0057511297,0.0
0.051554993,0.0
0.1736889,0.45503676
0.9999999,0.0
0.002394692,0.0
0.1574127,0.0
0.15055592,0.0
0.08017364,0.0
0.9747945,0.10580837
0.29608667,0.6455815
0.9999658,0.9734159
0.21293703,0.5988799
0.45558706,0.49192914
0.0037244838,0.0
0.23652746,0.32798386
0.087624684,0.0
0.6768145,0.99996185
0.005006259,0.0
0.2502525,0.0
0.98547596,0.0
0.9856645,0.98967534
0.16018012,0.0
0.96989113,0.0
0.95346177,0.0
0.01113927,0.0
0.001065931,0.0
0.16102985,0.0
0.2779287,0.95605135
1.0,0.77933556
0.070201226,0.0
0.9894406,0.0
0.0888233,0.0
0.0063463054,0.0
0.077432655,0.0
0.007220322,0.0
0.2855703,0.0
0.0040324433,0.0
0.019637674,0.0
0.030668216,0.0
0.003326022,0.0
0.011990708,0.0
0.07808159,0.0
0.91855884,0.0
0.019202285,0.0
0.16815016,0.0
0.03765332,0.0
0.77639383,0.0
0.04437843,0.0
0.09891844,0.0
0.10219167,0.0
0.06975657,0.0
0.13432181,0.0
0.12632142,0.0
0.98546034,0.0
0.0693314,0.0
0.115394615,0.0
0.003264261,0.0
0.10808759,0.9986731
0.082884215,0.0
0.023827508,0.73762816
0.6244256,0.0
0.020748772,0.9915001
0.19377862,0.987344
0.14742924,0.0
0.6578841,0.0
0.012950251,0.0
0.15625769,0.0
0.52989036,0.9865297
