DL_score,ML_score,Fusion_Pred_Prob
0.0035441485,0.0,0.3825667969134056
0.15932786,0.26688933,0.5281859214940715
0.02775557,0.9970061,0.41365259734863913
0.9999325,0.9970739,0.963618242695298
0.14736119,0.6019281,0.5203654795952563
0.072437316,0.33008277,0.44802048225932667
0.07641317,0.29076287,0.4513042459107931
0.9881302,0.6107335,0.9614805472828979
0.09451746,0.0,0.46520545654199114
0.8225999,0.931138,0.9316741345306943
0.09441889,0.9951916,0.4749329672598026
0.999757,0.8212229,0.9633501576473852
0.89742285,0.41894603,0.9464165320191757
1.0,0.0,0.9622171879241552
0.026172167,0.0,0.40268701982225796
0.09952918,0.67575836,0.4765304740090091
0.008073744,0.0,0.386564707637622
0.59343445,0.0,0.848282425789732
0.0050062425,0.0,0.38385556485474454
0.06369891,0.781463,0.4443858108060275
0.026381064,0.63539845,0.4089434319729551
0.036248147,0.99692816,0.4213539085561353
0.005006247,0.0,0.38385557115198793
0.17478052,0.8697436,0.5484398681356958
0.05145848,0.99701655,0.43524301998399473
0.093680955,0.42080998,0.4685776981065788
0.045257006,0.95670974,0.42917584400112824
0.056268826,0.0,0.42995297685755735
0.00464302,0.564213,0.3888327052079459
0.005006252,0.95726305,0.3928618045578006
0.07189837,0.98146224,0.4539109095793039
0.019970559,0.108011425,0.3981616488418148
0.9999988,0.98985857,0.9636168931477421
0.12683554,0.0,0.49527998172562043
0.13564858,0.0,0.5034963349057544
0.08273068,0.9159698,0.4632964711242551
0.3344015,0.0,0.6803083038130249
0.13373551,0.0,0.5017127965851236
0.15124853,0.40588292,0.5220453911883225
0.018744923,0.92893845,0.4048769018619073
0.1821905,0.0,0.5467512855822065
0.019870337,0.8314333,0.4049575836837189
0.06898381,0.8032177,0.4494704508981609
0.82838404,0.41781786,0.931752923329569
0.038712624,0.0,0.41398519563846675
0.061255604,0.11403889,0.43562701137087323
0.1690965,0.0,0.5346249766544962
0.19189501,0.8323843,0.5638283227238018
0.1180086,0.0,0.4870532224340501
0.050365184,0.0,0.42456545484173
0.045852736,0.0,0.4204594875976938
0.15529837,0.9818194,0.5314967695753187
0.1950511,0.0,0.5586077740508892
0.042058844,0.021069031,0.4172187226325871
0.1522227,0.04973,0.5194313882366489
0.13228452,0.36742848,0.5039983340932114
0.17003171,0.70351434,0.5424166323198845
0.4471077,0.111198425,0.7649307876741299
0.24073766,0.5091001,0.604931563245994
0.9900315,0.6273088,0.961766441205237
0.09831296,0.007231922,0.46879993876051385
0.032921534,0.0,0.4087557583442647
0.17435491,0.59882045,0.5453874190774803
0.04724578,0.83184576,0.42978127870118815
0.0708795,0.2508581,0.44580880951208457
0.12539,0.21422768,0.49605356472626516
0.822168,0.8958457,0.9314823628329688
0.09424079,0.52914727,0.4701664490695961
0.26687366,0.9286628,0.6318457004802189
0.7891671,0.35586336,0.9216679727178573
1.0,0.92425674,0.963525833258187
0.09410991,0.0,0.46482734627532807
0.00095377484,0.99403363,0.38960929109274417
0.2533767,0.5991563,0.6169819736723108
0.112731345,0.0,0.48213785787689356
0.021107504,0.8567697,0.40631188708442617
0.028842332,0.98916537,0.4145605548382952
0.03472851,0.17837614,0.412095998985196
0.021051973,0.0,0.398102851120575
0.07853302,0.0,0.45041011851199747
0.09569375,0.8161112,0.47434973583056433
0.16014655,0.9585206,0.5357666728567149
0.053225726,0.9875288,0.43677124972105397
0.9258891,0.9900018,0.9525840398020758
1.0,0.90545785,0.9634996558133273
0.11948289,0.0,0.4884269040770986
0.99999845,0.9903116,0.9636174700332981
0.21650596,0.0,0.5782331901503216
0.05960661,0.3543707,0.4364556844958619
0.048059236,0.9741751,0.431907597439404
0.14237294,0.0,0.5097643876839145
1.0,0.94995755,0.9635615924507719
0.005006252,0.9804499,0.3930808877080393
0.99999917,0.33855873,0.9627015971036544
0.33090907,0.0,0.6774690572771683
0.2353468,0.0,0.5952681488268797
0.22775427,0.0,0.5884284863362809
0.0122897485,0.0,0.3902996371817359
