"protein.id","Adrenal","BAT","Brain","Eye","GAT","Heart","Kidney","Liver","Lung","MAT","Muscle","Pancreas","Prostate","SCAT","Skin","Small","Spleen","Stomach","Testis","Thymus","Tongue","Urinary"
"Q9CPU9",1958540,1245179,192838.6,856307.5,2363892.5,721982.2,1321348.5,3562012.5,1292811.5,2801490,373092.8,2387290,2057250,3234797.5,2272530,586115,1747245,1386813.5,1133022.5,1164017.5,747348.5,543518.3
"Q9CPV0",517970,452.7715,134930.9268,965833,517561.75,452.7715,514761.5,52605.711,355322.75,272736.25,452.7715,172284,310626.25,173731.75,412617,109315.4509,208268.5,98015,949813,338486.75,113497.589,260336.6667
"Q9CPV9",156574,166365,5212050,735966,564295,128998.995,452.7715,452.7715,192799,494119.5,107912.1485,288899.25,269627,1073627.25,626831.75,118363.575,1401542.5,98043.125,176598,1225300,285709.75,287820.3333
"Q9CPZ6",6124933.3,21230975,1133334.2,6057426.7,13616275,1111398.8,2927615,6504580,1942745,7760087.5,1982092.5,3593197.5,2443755,11181075,2769312.5,6742660,2069792.5,1529865,2321247.5,2207245,806027.8,2628216.7
"Q9CQ44",160119,129513.3682,452.7715,175994.6667,160370.75,452.7715,152048.25,72991.1932,68666.675,62160.98,452.7715,73696.125,88404.05,74050.6562,100268.0601,39174.7,452.7715,26208.05,147678.5,69049.5886,452.7715,27041.7706
"Q9CQ54",25224133,86598625,4055875,9511883,16179925,188279500,15871525,17505550,3723012,15877950,90680500,12591478,23745675,21840975,22399600,4436070,3510475,8362638,1472035,5006368,133033500,7762373
"Q9CQ56",5744393.3,6870222.5,2453355,5580630,3764227.5,2691847.5,4140880,4545357.5,1951665,3561697.5,4068450,17656800,2167750,4621912.5,2523717.5,4388665,3541922.5,2392737.5,3445802.5,4293825,900553.2,3061600
"Q9CQ69",62527133,188036250,13081800,25781200,30401675,177102375,36106900,54857400,11236200,32528125,120311175,14912425,36745550,53145325,52452500,20344250,8375320,17170150,6114730,15934000,153478500,18276533
"Q9CQ88",3833306.7,3504245,1416915,1865283.3,2182145,710065,3867117.5,11515100,997407,2155345,316423.8,7942020,2111935,4128555,2415705,5869182.5,4425202.5,3533100,680677.8,1940052.5,438596.8,1796236.7
"Q9CQ91",7000706.7,46370550,1555275,2172006.7,9679380,45799300,11537057.5,10993225,2934097.5,9699302.5,74520375,1941720,9388960,11929627.5,12858200,12864400,1507562.5,6106300,602179.5,2260012.5,88265975,2171050
"Q9CQ92",3395303.3,1198112.5,474006.2,2752010,1612070,3540347.5,1132057,984102.5,619239.2,1221285,3546790,2136543.8,1395357.5,1248775,1421000,786853.2,854758,1372172.5,737425,1104737.8,3524027.5,1307100
"Q9CQB5",30274900,33140600,12114750,40004067,21645375,29078225,49085025,41224925,10581820,18127175,60143775,51228725,23532050,17621908,17613325,40911500,28033950,12039375,9826825,35284900,15482150,10983767
"Q9CQC7",32443900,59249600,11844700,14459267,25096400,99057750,14675300,33882075,6346592,26422700,93148975,11866700,41384150,27682050,48546550,12291150,4948350,26480175,2877725,8262918,218433250,10867780
"Q9CQE2",1614483.3,2428192.5,171866.2,746400.3,623367,5205045,679373.2,428895.5,344189,551871,2423310,404425.2,1021213.5,977479,701093,314586.8,212970.2,198295.2,107819.8,323908,4699940,429284.3
"Q9CQG6",876893,1147105,542390,1517790,1635307.5,513219.2,2210465,660247.5,475743,883245.5,419736.5,1281190,350421.8,914332,602593,1288500,495595.5,402698,874094.5,795944.8,523452.3,330020.7
"Q9CQH0",907793,452.7715,32240.79,705931.7,904758.8,452.7715,11093400,924657.5,414892,452.7715,608033,1307660,2523232,83690.28,309592.8,343628.8,353728.2,518941.8,874548.8,199451.8,778286.5,1954503
"Q9CQH3",51166233,157982000,7728995,18555567,39006375,266914250,27974725,47313575,11670050,35113550,158554750,25627425,50365125,46895025,59792825,11926850,7273410,19455075,4210985,10731150,243433500,13982833
"Q9CQN6",283706,4308805,112067.57,112287.77,1066071.5,1108904.75,564174.5,653563.03,257942,747399.25,576973.25,845266,119875.4,569844.75,257106.25,310492.81,400190.25,470883.55,56198.43,165479.54,34050.59,66762.27
"Q9CQS4",2243986.7,3939572.5,1329300,822845,874197,4698790,1939985,732854.2,515002,1200560,906805.2,389448.5,481563.5,1652960,850089.5,578572,777088.5,427784,216438.8,523093.5,1979927.5,573893.7
"Q9CQS8",14987367,12028350,3770302,8554247,9334728,3387308,8275475,9812558,7156520,9041802,12999575,84764400,7112328,8712610,6155618,10554358,9611452,5898802,4453928,11125665,3315160,4298217
"Q9CQU3",4001710,5224585,1972565,5002427,5021440,1579850,16356075,9922685,3059988,3645302,2669805,3551872,6487065,4389740,4227475,11823950,4333728,3655210,2476975,5097868,1706698,3756967
"Q9CQV4",2092800,2130977.5,1051144,2412496.7,2133235,517196.5,1407362.5,1364712.5,713391.2,1576975,1483215,1054962.5,521472,1551930,654552,2976237.5,1764427.5,437857,1142297.5,3102965,456705.5,1170990
"Q9CQX2",98503300,124456000,31058825,73431633,193456250,49031850,61258775,70773500,45335625,122596500,45449475,278797500,71916475,74592175,74292250,103917950,17440175,25342025,23882925,30618775,62231750,68932167
"Q9CQX5",1954820,1310577.5,1764572.5,1564206.7,2122290,827180.8,2211557.5,2381032.5,1439837.5,1334695,1274950,2450200,2695502.5,1491345,3525587.5,4335017.5,2023740,1887745,1344675,2587055,1448735,2480236.7
"Q9CQY5",14872800,17457825,1340741,8171527,22112150,2912998,20988025,8746725,6472298,12332225,4967650,18233825,9297178,17634975,7315090,18233600,9740718,5871082,2763042,9576940,2067770,9022500
"Q9CQY9",452.7715,20881.0607,452.7715,154973.3333,452.7715,47397.2326,452.7715,452.7715,452.7715,452.7715,43103.7039,452.7715,452.7715,452.7715,12859.0695,452.7715,452.7715,452.7715,452.7715,452.7715,112587.875,452.7715
"Q9CQZ0",183096.3333,263038.5,452.7715,200540.1352,389019.75,452.7715,432770.25,597055.25,204715.5,190171.5,452.7715,547098,299295,252715.75,268508.0584,682844.5,128725.75,332958.25,169710.5,149709,452.7715,129276.5667
"Q9CQZ6",26145567,80035350,4238748,9789837,16110725,81944900,9019682,22905100,3842948,16722400,63729600,7634772,24348300,22832225,23469275,6874312,3234485,10883800,1345638,5175180,149409500,8871997
"Q9CR20",11737900,19807575,4539078,13107267,22541875,4995415,14728150,24467825,5750275,11361775,15343575,39493900,12924775,11526282,3826982,19390925,9273218,4478972,6484415,13554125,3125880,9568453
"Q9CR22",330633.33,577532.5,374284.25,575398.67,631763.75,638598.5,110440.07,336813.25,537146,455452.25,1225842.5,333016,374276.25,712448.75,25249.96,92609.94,436730.25,260955.5,151049,258682.75,102252.83,208791.67
"Q9CR23",2025170,1988812.5,5057850,5886980,2062865,505102,9437350,4282462.5,602607.2,995222.2,487286.5,3223402.5,828942.8,2082177.5,607369.5,645500.5,1659292.5,1214482.5,784793,1802102.5,453535,1180926.7
"Q9CR33",393609.67,151400.39,617369.5,340179.33,249825,139460.5,410359.5,383575.75,633704,352069,121239.15,3780935,2470387.5,300824.5,598904.25,747673.5,414491.75,1576327.5,41542.09,235961.5,127768.62,1336623.33
"Q9CR60",7427270,10248212,5032438,9837580,8839540,2819442,4199132,2528620,3645842,5620652,8055215,14422750,8242225,7625218,8692602,5727832,6019430,4390842,4713620,10063680,2399414,6278737
"Q9CR62",63422367,142147000,15344025,47749867,39423000,594267750,48726725,44500500,23908900,34331075,222599000,17380525,63000400,57291700,58379125,16183575,16663250,19067300,2048850,12729000,338160250,19889833
"Q9CR67",18993833,15792175,12410075,21197767,12574175,4512242,38110425,17397450,9032880,10855600,2353112,19043900,8662962,12581825,7901268,27031075,10929520,9794048,10243270,15508075,2970570,14051167
"Q9CR76",2172166.67,3986952.5,68421.5,308903.33,1085750.5,6411412.5,832102.25,838515,203411,666156.75,2140207.5,118972.75,644675.25,1227075,730178.5,462832.75,266262,273782.75,94244.65,212861.13,3629222.5,326143.67
"Q9CR89",2960503.3,2195600,2083242.5,3665750,2894277.5,825824.8,5279597.5,3536055,1708770,2435467.5,750694,8110677.5,6252970,3361877.5,2415970,6476250,3011670,2104487.5,3880627.5,2716360,886687.5,2379823.3
"Q9CRA4",6220126.67,1136347.25,3640832.5,6605080,1477607.5,281765.75,3730752.5,4300635,1948175,1875865,30252.22,1790400,1475090,1352815,16426475,7666427.5,1995445,3573977.5,3216212.5,2310085,721864.46,4886666.67
"Q9CRC0",14249733.3,11348255,2979992.5,7353080,19630525,1012550.5,10531385,29551775,8549780,9463680,1378788,70489575,14251775,13875375,20622725,10288315,7762532.5,4647917.5,9382462.5,7844410,567470.8,7015183.3
"Q9CTG6",727273.3,432962.5,636990.8,823713.7,955251.8,125743.6,177762,548179.5,572019.5,1437847.5,188740,2023860,556769.5,2673057.5,901227.5,362108.8,3007457.5,358511.5,794921,1630047.5,462572.5,522207
"Q9CUS9",93432.2667,452.7715,452.7715,119803.3333,452.7715,452.7715,452.7715,452.7715,37050.6115,36579.3215,452.7715,452.7715,51104.45,83843.664,137116.25,198599,111256.5,94560.8,162058.75,153227,79217.5255,84753.5
