"protein","entry_name","description","family","expression_tissue","gene_symbol"
"Q9BRQ8","FSP1_HUMAN","Ferroptosis suppressor protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","AIFM2"
"Q9BRR3","PGAP4_HUMAN","GPI-N-acetylgalactosamine transferase PGAP4","Other TMPs","Adrenal\BAT\Brain\Eye\Heart\Kidney\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PGAP4"
"Q9BRV3","SWET1_HUMAN","Sugar transporter SWEET1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC50A1"
"Q9BRY0","S39A3_HUMAN","Zinc transporter ZIP3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC39A3"
"Q9BS91","S35A5_HUMAN","UDP-sugar transporter protein SLC35A5","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC35A5"
"Q9BSA4","TTYH2_HUMAN","Protein tweety homolog 2","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TTYH2"
"Q9BSA9","TM175_HUMAN","Endosomal/lysosomal proton channel TMEM175","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM175"
"Q9BSE2","TMM79_HUMAN","Transmembrane protein 79","Other TMPs","Adrenal\BAT\Eye\Kidney\Lung\MAT\Pancreas\Prostate\Skin\Small\Stomach\Testis\Thymus\Tongue\Urinary","TMEM79"
"Q9BSE4","HERP2_HUMAN","Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Muscle\Prostate\SCAT\Small\Spleen\Stomach\Testis\Thymus\Urinary","HERPUD2"
"Q9BSF4","TIM29_HUMAN","Mitochondrial import inner membrane translocase subunit Tim29","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TIMM29"
"Q9BSJ8","ESYT1_HUMAN","Extended synaptotagmin-1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ESYT1"
"Q9BSK0","MALD1_HUMAN","MARVEL domain-containing protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MARVELD1"
"Q9BSK2","S2533_HUMAN","Solute carrier family 25 member 33","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A33"
"Q9BSN7","TM204_HUMAN","Transmembrane protein 204","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM204"
"Q9BSR8","YIPF4_HUMAN","Protein YIPF4","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","YIPF4"
"Q9BT67","NFIP1_HUMAN","NEDD4 family-interacting protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDFIP1"
"Q9BT88","SYT11_HUMAN","Synaptotagmin-11","Other TMPs","Adrenal\BAT\Brain\Eye\Testis\Thymus\Urinary","SYT11"
"Q9BTN0","LRFN3_HUMAN","Leucine-rich repeat and fibronectin type-III domain-containing protein 3","Other TMPs","Adrenal\Brain\Eye\Heart\Prostate\Skin\Small\Spleen\Stomach\Urinary","LRFN3"
"Q9BTV4","TMM43_HUMAN","Transmembrane protein 43","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM43"
"Q9BTX1","NDC1_HUMAN","Nucleoporin NDC1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDC1"
"Q9BTX3","TM208_HUMAN","Transmembrane protein 208","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","TMEM208"
"Q9BU23","LMF2_HUMAN","Lipase maturation factor 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LMF2"
"Q9BUB7","TMM70_HUMAN","Transmembrane protein 70, mitochondrial","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM70"
"Q9BUF7","CRUM3_HUMAN","Protein crumbs homolog 3","Other TMPs","Eye\GAT\Kidney\Liver\Lung\Pancreas\Prostate\Small\Stomach\Thymus\Urinary","CRB3"
"Q9BUM1","G6PC3_HUMAN","Glucose-6-phosphatase 3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","G6PC3"
"Q9BUN8","DERL1_HUMAN","Derlin-1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","DERL1"
"Q9BUR5","MIC26_HUMAN","MICOS complex subunit MIC26","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","APOO"
"Q9BUV8","RCAF1_HUMAN","GEL complex subunit OPTI","Other TMPs","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Testis\Thymus","RAB5IF"
"Q9BV10","ALG12_HUMAN","Dol-P-Man:ManGlcNAc-PP-Dol alpha-1,6-mannosyltransferaseGlcNAc-PP-dolichyl-alpha-1,6-mannosyltransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ALG12"
"Q9BV23","ABHD6_HUMAN","Monoacylglycerol lipase ABHD6","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABHD6"
"Q9BV35","SCMC3_HUMAN","Mitochondrial adenyl nucleotide antiporter SLC25A23","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A23"
"Q9BV81","EMC6_HUMAN","ER membrane protein complex subunit 6","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","EMC6"
"Q9BVA6","FICD_HUMAN","Protein adenylyltransferase FICD","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","FICD"
"Q9BVC6","TM109_HUMAN","Voltage-gated monoatomic cation channel TMEM109","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM109"
