"protein","entry_name","description","family","gene_symbol","expression_tissue"
"Q9H5K3","SG196_HUMAN","Protein O-mannose kinase","Other TMPs","POMK","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H5V8","CDCP1_HUMAN","CUB domain-containing protein 1","Other TMPs","CDCP1","eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q9H5Y7","SLIK6_HUMAN","SLIT and NTRK-like protein 6","Other TMPs","SLITRK6","eye\prostate\skin"
"Q9H6A9","PCX3_HUMAN","Pecanex-like protein 3","Other TMPs","PCNX3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6B4","CLMP_HUMAN","CXADR-like membrane protein","Other TMPs","CLMP","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6B9","EPHX3_HUMAN","Epoxide hydrolase 3","Other TMPs","EPHX3",""
"Q9H6D3","XKR8_HUMAN","XK-related protein 8","Other TMPs","XKR8","BAT\brain\eye\liver\lung\SCAT\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q9H6D8","FNDC4_HUMAN","Fibronectin type III domain-containing protein 4","Other TMPs","FNDC4","brain"
"Q9H6F2","TM38A_HUMAN","Trimeric intracellular cation channel type A","Ion-channels","TMEM38A","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q9H6H4","REEP4_HUMAN","Receptor expression-enhancing protein 4","Other TMPs","REEP4","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6L2","TM231_HUMAN","Transmembrane protein 231","Other TMPs","TMEM231","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6L5","RETR1_HUMAN","Reticulophagy regulator 1","Other TMPs","RETREG1","Ad\BAT\brain\eye\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6R6","ZDHC6_HUMAN","Palmitoyltransferase ZDHHC6","Other TMPs","ZDHHC6","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6U8","ALG9_HUMAN","Alpha-1,2-mannosyltransferase ALG9GlcNAc-PP-Dol alpha-1,2-mannosyltransferaseGlcNAc-PP-Dol alpha-1,2-mannosyltransferase","Other TMPs","ALG9","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6X2","ANTR1_HUMAN","Anthrax toxin receptor 1","Other TMPs","ANTXR1","Ad\BAT\brain\eye\GAT\heart\Kidney\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6X4","TM134_HUMAN","Transmembrane protein 134","Other TMPs","TMEM134","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H6Y7","RN167_HUMAN","E3 ubiquitin-protein ligase RNF167","Other TMPs","RNF167","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H720","PG2IP_HUMAN","PGAP2-interacting protein","Other TMPs","CWH43","eye\GAT\Kidney\prostate\skin\SmallIntestine\Stomach\tongue\Ub"
"Q9H741","SPRNG_HUMAN","SREBP regulating gene protein","Other TMPs","SPRING1","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"Q9H756","LRC19_HUMAN","Leucine-rich repeat-containing protein 19","Other TMPs","LRRC19","Kidney\MAT\SmallIntestine"
"Q9H7F0","AT133_HUMAN","Polyamine-transporting ATPase 13A3","Other TMPs","ATP13A3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H7M9","VISTA_HUMAN","V-type immunoglobulin domain-containing suppressor of T-cell activation","Other TMPs","VSIR","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H7V2","SYNG1_HUMAN","Synapse differentiation-inducing gene protein 1","Other TMPs","SYNDIG1","BAT\brain\eye\prostate\Ub"
"Q9H7X2","RDD1_HUMAN","Required for drug-induced death protein 1","Other TMPs","C1orf115",""
"Q9H7Z7","PGES2_HUMAN","Prostaglandin E synthase 2 E-isomerase","Other TMPs","PTGES2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H813","PACC1_HUMAN","Proton-activated chloride channel","Ion-channels","PACC1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H819","DJC18_HUMAN","DnaJ homolog subfamily C member 18","Other TMPs","DNAJC18","Ad\BAT\brain\eye\Kidney\liver\lung\Muscle\Pancreas\prostate\SCAT\Spleen\Stomach\testis\thymus\Ub"
"Q9H841","NPAL2_HUMAN","NIPA-like protein 2","Other TMPs","NIPAL2",""
"Q9H8J5","MANS1_HUMAN","MANSC domain-containing protein 1","Other TMPs","MANSC1","Ad\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q9H8M5","CNNM2_HUMAN","Metal transporter CNNM2","Transporter","CNNM2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H8M9","EVA1A_HUMAN","Protein eva-1 homolog A","Other TMPs","EVA1A","Ad\BAT\brain\eye\Kidney\liver\lung\prostate\SmallIntestine\Spleen\Stomach\thymus\Ub"
"Q9H8P0","SR5A3_HUMAN","Polyprenal reductase","Other TMPs","SRD5A3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H8X9","ZDH11_HUMAN","Palmitoyltransferase ZDHHC11","Other TMPs","ZDHHC11","testis"
"Q9H902","REEP1_HUMAN","Receptor expression-enhancing protein 1","Other TMPs","REEP1","Ad\BAT\brain\eye\GAT\heart\lung\MAT\Muscle\prostate\SCAT\skin\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H920","RN121_HUMAN","E3 ubiquitin ligase RNF121","Other TMPs","RNF121","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H936","GHC1_HUMAN","Mitochondrial glutamate carrier 1 symporter 1","Transporter","SLC25A22","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H9B4","SFXN1_HUMAN","Sideroflexin-1","Transporter","SFXN1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H9K5","MER34_HUMAN","Endogenous retroviral envelope protein HEMO open reading frame","Other TMPs","ERVMER34-1",""
"Q9H9P2","CHODL_HUMAN","Chondrolectin","Other TMPs","CHODL","brain\eye\Muscle\prostate\SmallIntestine\Stomach\tongue\Ub"
"Q9H9S3","S61A2_HUMAN","Protein transport protein Sec61 subunit alpha isoform 2","Transporter","SEC61A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H9S5","FKRP_HUMAN","Ribitol 5-phosphate transferase FKRP","Other TMPs","FKRP","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9H9V4","RN122_HUMAN","RING finger protein 122","Other TMPs","RNF122","Kidney\MAT\SCAT\skin\Spleen\thymus"
"Q9HA72","CAHM2_HUMAN","Calcium homeostasis modulator protein 2","Ion-channels","CALHM2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HA82","CERS4_HUMAN","Ceramide synthase 4","Other TMPs","CERS4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HAB3","S52A2_HUMAN","Solute carrier family 52, riboflavin transporter, member 2","Other TMPs","SLC52A2","BAT\brain\GAT\Kidney\MAT\Pancreas\prostate\SCAT\SmallIntestine\Spleen\Stomach\thymus"
"Q9HAR2","AGRL3_HUMAN","Adhesion G protein-coupled receptor L3","GPCR","ADGRL3","Ad\brain\eye\lung\prostate\skin\SmallIntestine\Spleen\Stomach"
"Q9HAS3","S28A3_HUMAN","Solute carrier family 28 member 3-nucleoside cotransporter 3","Transporter","SLC28A3","brain\eye\GAT\lung\Pancreas\prostate\skin\SmallIntestine\Stomach\Ub"
"Q9HAT1","LMA1L_HUMAN","Protein ERGIC-53-like","Other TMPs","LMAN1L",""
"Q9HAV5","TNR27_HUMAN","Tumor necrosis factor receptor superfamily member 27","Catalytic receptors","EDA2R","Muscle\Pancreas"
"Q9HAW7","UD17_HUMAN","UDP-glucuronosyltransferase 1A7","Other TMPs","UGT1A7",""
"Q9HAW8","UD110_HUMAN","UDP-glucuronosyltransferase 1A10","Other TMPs","UGT1A10",""
"Q9HAW9","UD18_HUMAN","UDP-glucuronosyltransferase 1A8","Other TMPs","UGT1A8",""
"Q9HB03","ELOV3_HUMAN","Very long chain fatty acid elongase 3","Other TMPs","ELOVL3","liver\skin"
"Q9HB14","KCNKD_HUMAN","Potassium channel subfamily K member 13","Ion-channels","KCNK13","brain\eye\GAT\lung\MAT\SCAT\skin\Spleen\Stomach\testis\thymus"
"Q9HB29","ILRL2_HUMAN","Interleukin-1 receptor-like 2","Catalytic receptors","IL1RL2","lung\prostate\SCAT\skin\Spleen\thymus"
"Q9HBA0","TRPV4_HUMAN","Transient receptor potential cation channel subfamily V member 4","Ion-channels","TRPV4","Ad\BAT\brain\eye\GAT\Kidney\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HBB8","CDHR5_HUMAN","Cadherin-related family member 5","Other TMPs","CDHR5","Ad\GAT\Kidney\liver\MAT\Muscle\skin\SmallIntestine\Spleen\Stomach\testis\thymus"
"Q9HBE5","IL21R_HUMAN","Interleukin-21 receptor","Catalytic receptors","IL21R","MAT\SCAT\Spleen\thymus"
"Q9HBG4","VPP4_HUMAN","V-type proton ATPase 116 kDa subunit a 4","Transporter","ATP6V0A4","Ad\brain\eye\GAT\Kidney\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q9HBG7","LY9_HUMAN","T-lymphocyte surface antigen Ly-9","Other TMPs","LY9","Ad\BAT\brain\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q9HBJ8","CLTRN_HUMAN","Collectrin","Other TMPs","CLTRN","Ad\brain\eye\GAT\Kidney\Muscle\Pancreas\Ub"
"Q9HBL6","LRTM1_HUMAN","Leucine-rich repeat and transmembrane domain-containing protein 1","Other TMPs","LRTM1","eye\heart\Muscle\prostate\tongue"
"Q9HBL7","PLRKT_HUMAN","Plasminogen receptor","Other TMPs","PLGRKT","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HBM0","VEZA_HUMAN","Vezatin","Other TMPs","VEZT","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HBR0","S38AA_HUMAN","Solute carrier family 38 member 10","Transporter","SLC38A10","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HBU9","POPD2_HUMAN","Popeye domain-containing protein 2","Other TMPs","POPDC2","BAT\eye\heart\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Stomach\testis\thymus\tongue\Ub"
"Q9HBV1","POPD3_HUMAN","Popeye domain-containing protein 3","Other TMPs","POPDC3","eye\heart\Muscle\tongue"
"Q9HBV2","SACA1_HUMAN","Sperm acrosome membrane-associated protein 1","Other TMPs","SPACA1","GAT\prostate\SCAT\testis\tongue"
"Q9HBW0","LPAR2_HUMAN","Lysophosphatidic acid receptor 2","GPCR","LPAR2","Ad\eye\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q9HBW1","LRRC4_HUMAN","Leucine-rich repeat-containing protein 4","Other TMPs","LRRC4","Ad\brain\eye\GAT\heart\MAT\SCAT\skin\testis"
"Q9HBW9","AGRL4_HUMAN","Adhesion G protein-coupled receptor L4","GPCR","ADGRL4","Ad\BAT\GAT\heart\Kidney\liver\lung\MAT\SCAT\skin\Spleen\Stomach\Ub"
"Q9HBX8","LGR6_HUMAN","Leucine-rich repeat-containing G-protein coupled receptor 6","GPCR","LGR6","BAT\brain\heart\skin"
"Q9HBX9","RXFP1_HUMAN","Relaxin receptor 1","GPCR","RXFP1",""
