"protein","entry_name","description","family","gene_symbol","expression_tissue"
"A0A0B4J2F0","PIOS1_HUMAN","Protein PIGBOS1","Other TMPs","PIGBOS1",""
"A0A0K2S4Q6","CD3CH_HUMAN","Protein CD300H","Other TMPs","CD300H",""
"A0A0U1RQS6","TM275_HUMAN","Transmembrane protein 275","Other TMPs","TMEM275","brain"
"A0A1B0GTQ4","MYMX_HUMAN","Protein myomixer","Other TMPs","MYMX","Kidney\SmallIntestine"
"A0A1B0GV90","CTXD2_HUMAN","Cortexin domain containing 2","Other TMPs","CTXND2","testis"
"A0A1B0GWG4","SRTM2_HUMAN","Serine-rich and transmembrane domain-containing 2","Other TMPs","SERTM2","eye\testis"
"A0A6I8PU40","TUG1_HUMAN","Taurine up-regulated 1 protein","Other TMPs","TUG1",""
"A0AV02","S12A8_HUMAN","Solute carrier family 12 member 8","Transporter","SLC12A8","Kidney\Pancreas\SmallIntestine\Stomach"
"A0AVI4","TM129_HUMAN","E3 ubiquitin-protein ligase TM129","Other TMPs","TMEM129","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A0FGR8","ESYT2_HUMAN","Extended synaptotagmin-2","Transporter","ESYT2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A0FGR9","ESYT3_HUMAN","Extended synaptotagmin-3","Transporter","ESYT3","brain\eye\lung\MAT\prostate\skin\Stomach\testis\Ub"
"A0PJW6","TM223_HUMAN","Transmembrane protein 223","Other TMPs","TMEM223","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"A0PJX4","SHSA3_HUMAN","Protein shisa-3 homolog","Other TMPs","SHISA3","Ad\brain\Kidney\lung\MAT\SCAT\SmallIntestine\Spleen\thymus"
"A0PJX8","TMM82_HUMAN","Transmembrane protein 82","Other TMPs","TMEM82","Ad\Kidney\liver\prostate\SmallIntestine\testis"
"A0PJZ3","GXLT2_HUMAN","Glucoside xylosyltransferase 2","Other TMPs","GXYLT2","GAT\heart\MAT\prostate\SCAT\skin\thymus\tongue"
"A0PK00","T120B_HUMAN","Transmembrane protein 120B","Other TMPs","TMEM120B","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A0PK05","TMM72_HUMAN","Transmembrane protein 72","Other TMPs","TMEM72","brain\eye\Kidney"
"A0PK11","CLRN2_HUMAN","Clarin-2","Other TMPs","CLRN2",""
"A1A5B4","ANO9_HUMAN","Anoctamin-9","Transporter","ANO9","GAT\Kidney\lung\Pancreas\prostate\skin\SmallIntestine\Stomach\Ub"
"A1A5C7","S22AN_HUMAN","Solute carrier family 22 member 23","Transporter","SLC22A23","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"A1KXE4","F168B_HUMAN","Myelin-associated neurite-outgrowth inhibitor","Other TMPs","FAM168B",""
"A1L0T0","HACL2_HUMAN","2-hydroxyacyl-CoA lyase 2","Other TMPs","ILVBL","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A1L157","TSN11_HUMAN","Tetraspanin-11","Other TMPs","TSPAN11","Ad\BAT\brain\eye\GAT\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A1L3X0","ELOV7_HUMAN","Very long chain fatty acid elongase 7","Other TMPs","ELOVL7","Ad\brain\eye\Kidney\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"A2A2V5","SRTM1_HUMAN","Serine-rich and transmembrane domain-containing protein 1","Other TMPs","SERTM1",""
"A2A2Y4","FRMD3_HUMAN","FERM domain-containing protein 3","Other TMPs","FRMD3","brain\eye\Spleen"
"A2RRL7","TM213_HUMAN","Transmembrane protein 213","Other TMPs","TMEM213",""
"A2RU14","TM218_HUMAN","Transmembrane protein 218","Other TMPs","TMEM218","testis"
"A2RU48","SMCO3_HUMAN","Single-pass membrane and coiled-coil domain-containing protein 3","Other TMPs","SMCO3","eye\tongue"
"A2RU67","F234B_HUMAN","Protein FAM234B","Other TMPs","FAM234B","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A2VDJ0","T131L_HUMAN","Transmembrane protein 131-like","Other TMPs","TMEM131L","Ad\BAT\liver\lung\MAT\Pancreas\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus"
"A4D1S0","KLRG2_HUMAN","Killer cell lectin-like receptor subfamily G member 2","Other TMPs","KLRG2",""
"A4D2H0","CTGEF_HUMAN","cTAGE family member 15","Other TMPs","CTAGE15",""
"A5D6W6","FITM1_HUMAN","Fat storage-inducing transmembrane protein 1","Other TMPs","FITM1","Ad\BAT\eye\heart\Kidney\liver\lung\Muscle\Pancreas\prostate\SCAT\skin\Spleen\Stomach\testis\thymus\tongue\Ub"
"A5PLK6","RGSL_HUMAN","Regulator of G-protein signaling protein-like","Other TMPs","RGSL1",""
"A5PLL7","PEDS1_HUMAN","Plasmanylethanolamine desaturase 1","Other TMPs","PEDS1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A5X5Y0","5HT3E_HUMAN","5-hydroxytryptamine receptor 3E","Ion-channels","HTR3E",""
"A6BM72","MEG11_HUMAN","Multiple epidermal growth factor-like domains protein 11","Other TMPs","MEGF11","brain\eye\testis"
"A6H8M9","CDHR4_HUMAN","Cadherin-related family member 4","Other TMPs","CDHR4",""
"A6NDA9","LRIT2_HUMAN","Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2","Other TMPs","LRIT2","eye"
"A6NDP7","MADL2_HUMAN","Myeloid-associated differentiation marker-like protein 2","Other TMPs","MYADML2","BAT\brain\eye\heart\lung\Muscle\Pancreas\prostate\skin\Spleen\tongue"
"A6NDV4","TMM8B_HUMAN","Transmembrane protein 8B","Other TMPs","TMEM8B","brain"
"A6NEH6","TM247_HUMAN","Transmembrane protein 247","Other TMPs","TMEM247","testis"
"A6NFA1","TIKI2_HUMAN","Metalloprotease TIKI2","Other TMPs","TRABD2B","GAT\heart\Kidney\lung\MAT\SCAT"
"A6NFX1","MFS2B_HUMAN","Sphingosine-1-phosphate transporter MFSD2B","Transporter","MFSD2B","lung\SCAT\skin\Spleen"
"A6NFY4","NEMP2_HUMAN","Nuclear envelope integral membrane protein 2","Other TMPs","NEMP2","lung\MAT\SCAT\skin\Spleen\Stomach\thymus"
"A6NGB7","TM221_HUMAN","Transmembrane protein 221","Other TMPs","TMEM221","Ad\GAT\Kidney\lung\MAT\Pancreas\Spleen\testis\thymus"
"A6NGC4","TLCD2_HUMAN","TLC domain-containing protein 2","Other TMPs","TLCD2","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\testis\thymus\Ub"
"A6NGU5","GGT3_HUMAN","Putative glutathione hydrolase 3 proenzyme","Other TMPs","GGT3P",""
"A6NH52","TV23A_HUMAN","Golgi apparatus membrane protein TVP23 homolog A","Other TMPs","TVP23A",""
"A6NI73","LIRA5_HUMAN","Leukocyte immunoglobulin-like receptor subfamily A member 5","Other TMPs","LILRA5",""
"A6NJY4","T238L_HUMAN","Transmembrane protein 238-like","Other TMPs","TMEM238L",""
"A6NK97","S22AK_HUMAN","Solute carrier family 22 member 20","Other TMPs","SLC22A20P",""
"A6NKB5","PCX2_HUMAN","Pecanex-like protein 2","Other TMPs","PCNX2","brain\Spleen"
"A6NKG5","RTL1_HUMAN","Retrotransposon-like protein 1","Other TMPs","RTL1","Ad\brain"
"A6NKK0","OR5H1_HUMAN","Olfactory receptor 5H1","GPCR","OR5H1",""
"A6NL88","SHSA7_HUMAN","Protein shisa-7 receptor auxiliary subunit Shisa7","Other TMPs","SHISA7","brain\eye"
"A6NM10","AQ12B_HUMAN","Putative aquaporin-12B","Other TMPs","AQP12B",""
"A6NMB1","SIG16_HUMAN","Sialic acid-binding Ig-like lectin 16","Other TMPs","SIGLEC16",""
"A6NMD0","IFM10_HUMAN","Interferon-induced transmembrane protein 10","Other TMPs","IFITM10","brain"
"A6NNB3","IFM5_HUMAN","Interferon-induced transmembrane protein 5","Other TMPs","IFITM5",""
"A6NNE9","MARHB_HUMAN","E3 ubiquitin-protein ligase MARCHF11","Other TMPs","MARCHF11","brain\testis"
"A6QL63","ABTB3_HUMAN","Ankyrin repeat- and BTB/POZ domain-containing protein 3","Other TMPs","ABTB3","Ad\brain\MAT\prostate\SCAT\skin\Spleen\testis\thymus\tongue\Ub"
"A7MBM2","DISP2_HUMAN","Protein dispatched homolog 2","Other TMPs","DISP2","Ad\brain\eye\lung\skin\SmallIntestine"
"A8CG34","P121C_HUMAN","Nuclear envelope pore membrane protein POM 121C","Other TMPs","POM121C",""
"A8K4G0","CLM7_HUMAN","CMRF35-like molecule 7","Other TMPs","CD300LB","GAT\lung\MAT\SCAT\skin\Spleen\thymus"
"A8MV81","HIG1C_HUMAN","HIG1 domain family member 1C","Other TMPs","HIGD1C",""
"A8MVS5","HIDE1_HUMAN","Protein HIDE1","Other TMPs","HIDE1",""
"A8MVW0","F1712_HUMAN","Protein FAM171A2","Other TMPs","FAM171A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"A8MVW5","HECA2_HUMAN","HEPACAM family member 2","Other TMPs","HEPACAM2","brain\MAT\SmallIntestine\thymus"
"A8MWY0","ELAP2_HUMAN","Endosome/lysosome-associated apoptosis and autophagy regulator family member 2","Other TMPs","ELAPOR2","Ad\brain\eye\lung\Pancreas\prostate\SmallIntestine\Spleen\Stomach\testis\Ub"
"A8MXK1","VSTM5_HUMAN","V-set and transmembrane domain-containing protein 5","Other TMPs","VSTM5","Kidney\prostate\SmallIntestine\Stomach\Ub"
"A8MZ97","CB074_HUMAN","Uncharacterized protein C2orf74","Other TMPs","C2orf74",""
"B0FP48","UPK3L_HUMAN","Uroplakin-3b-like protein 1","Other TMPs","UPK3BL1",""
"B0YJ81","HACD1_HUMAN","Very-long-chain-3-hydroxyacyl-CoA dehydratase 1","Other TMPs","HACD1",""
"B1AL88","NALF1_HUMAN","NALCN channel auxiliary factor 1","Other TMPs","NALF1","Ad\brain"
"B2RTY4","MYO9A_HUMAN","Unconventional myosin-IXa","Other TMPs","MYO9A","Ad\brain\eye\GAT\lung\MAT\SCAT\skin\Spleen\Stomach\testis\thymus\Ub"
"B2RUZ4","SMIM1_HUMAN","Small integral membrane protein 1","Other TMPs","SMIM1","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"B3SHH9","TM114_HUMAN","Transmembrane protein 114","Other TMPs","TMEM114","BAT\GAT\Kidney\SCAT\Spleen\testis"
"B7U540","KCJ18_HUMAN","Inward rectifier potassium channel 18 channel Kir2.6","Ion-channels","KCNJ18",""
"B7Z8K6","TRDC_HUMAN","T cell receptor delta constant","Other TMPs","TRDC",""
"B7ZAQ6","GPHRA_HUMAN","Golgi pH regulator A","Ion-channels","GPR89A",""
"B8ZZ34","SHSA8_HUMAN","Protein shisa-8","Other TMPs","SHISA8",""
"B9EJG8","T150C_HUMAN","Transmembrane protein 150C","Other TMPs","TMEM150C","eye\GAT\lung\MAT\prostate\skin\SmallIntestine\testis\thymus\tongue\Ub"
"C9JH25","PRRT4_HUMAN","Proline-rich transmembrane protein 4","Other TMPs","PRRT4","Ad\brain\eye\GAT\lung\MAT\SCAT\skin\tongue\Ub"
"D3W0D1","KLRF2_HUMAN","Killer cell lectin-like receptor subfamily F member 2","Other TMPs","KLRF2",""
"E9PQ53","NDUCR_HUMAN","NADH dehydrogenase 1 subunit C2, isoform 2","Other TMPs","NDUFC2-KCTD14",""
"E9PQX1","TM262_HUMAN","Cation channel sperm-associated auxiliary subunit TMEM262","Other TMPs","TMEM262","testis"
"F7VJQ1","APRIO_HUMAN","Alternative prion protein","Other TMPs","PRNP","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"H3BR10","SMLR1_HUMAN","Small leucine-rich protein 1","Other TMPs","SMLR1",""
"I3L273","GFY_HUMAN","Golgi-associated olfactory signaling regulator","Other TMPs","GFY","brain"
"K7EJ46","SIM22_HUMAN","Small integral membrane protein 22","Other TMPs","SMIM22",""
"O00124","UBXN8_HUMAN","UBX domain-containing protein 8","Other TMPs","UBXN8",""
"O00144","FZD9_HUMAN","Frizzled-9","GPCR","FZD9","testis"
"O00155","GPR25_HUMAN","Probable G-protein coupled receptor 25","GPCR","GPR25","thymus"
"O00168","PLM_HUMAN","Phospholemman","Transporter","FXYD1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00180","KCNK1_HUMAN","Potassium channel subfamily K member 1","Ion-channels","KCNK1","Ad\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O00198","HRK_HUMAN","Activator of apoptosis harakiri","Other TMPs","HRK",""
"O00206","TLR4_HUMAN","Toll-like receptor 4","Catalytic receptors","TLR4","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00219","HYAS3_HUMAN","Hyaluronan synthase 3","Other TMPs","HAS3",""
"O00220","TR10A_HUMAN","Tumor necrosis factor receptor superfamily member 10A","Catalytic receptors","TNFRSF10A",""
"O00222","GRM8_HUMAN","Metabotropic glutamate receptor 8","GPCR","GRM8","brain\eye\thymus"
"O00237","RN103_HUMAN","E3 ubiquitin-protein ligase RNF103","Other TMPs","RNF103","Ad\liver\lung\prostate\thymus"
"O00238","BMR1B_HUMAN","Bone morphogenetic protein receptor type-1B","Catalytic receptors","BMPR1B","Ad\BAT\brain\eye\Kidney\lung\Pancreas\prostate\Spleen\Stomach\Ub"
"O00241","SIRB1_HUMAN","Signal-regulatory protein beta-1","Other TMPs","SIRPB1",""
"O00254","PAR3_HUMAN","Proteinase-activated receptor 3","GPCR","F2RL2","Spleen"
"O00258","GET1_HUMAN","Guided entry of tail-anchored proteins factor 1","Other TMPs","GET1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00264","PGRC1_HUMAN","Membrane-associated progesterone receptor component 1","Other TMPs","PGRMC1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00299","CLIC1_HUMAN","Chloride intracellular channel protein 1","Ion-channels","CLIC1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00322","UPK1A_HUMAN","Uroplakin-1a","Other TMPs","UPK1A","Ad\eye\Kidney\lung\prostate\testis\thymus\Ub"
"O00391","QSOX1_HUMAN","Sulfhydryl oxidase 1","Other TMPs","QSOX1","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00398","P2Y10_HUMAN","Putative P2Y purinoceptor 10","GPCR","P2RY10","lung\MAT\Pancreas\SCAT\skin\SmallIntestine\Spleen\thymus"
"O00400","ACATN_HUMAN","Acetyl-coenzyme A transporter 1","Transporter","SLC33A1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00421","CCRL2_HUMAN","C-C chemokine receptor-like 2","GPCR","CCRL2","Ad\Kidney\lung\MAT\Pancreas\SmallIntestine\Spleen\thymus"
"O00445","SYT5_HUMAN","Synaptotagmin-5","Other TMPs","SYT5","Ad\BAT\brain\eye\Kidney\lung\MAT\Pancreas\prostate\SmallIntestine\Spleen\Stomach\testis\Ub"
"O00453","LST1_HUMAN","Leukocyte-specific transcript 1 protein","Other TMPs","LST1",""
"O00461","GOLI4_HUMAN","Golgi integral membrane protein 4","Transporter","GOLIM4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00468","AGRIN_HUMAN","Agrin","Other TMPs","AGRN","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O00478","BT3A3_HUMAN","Butyrophilin subfamily 3 member A3","Other TMPs","BTN3A3",""
"O00481","BT3A1_HUMAN","Butyrophilin subfamily 3 member A1","Other TMPs","BTN3A1",""
"O00483","NDUA4_HUMAN","Cytochrome c oxidase subunit NDUFA4","Transporter","NDUFA4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00501","CLD5_HUMAN","Claudin-5","Other TMPs","CLDN5","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00519","FAAH1_HUMAN","Fatty-acid amide hydrolase 1","Other TMPs","FAAH","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O00526","UPK2_HUMAN","Uroplakin-2","Other TMPs","UPK2",""
"O00533","NCHL1_HUMAN","Neural cell adhesion molecule L1-like protein","Other TMPs","CHL1","Ad\BAT\brain\eye\GAT\heart\Kidney\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00548","DLL1_HUMAN","Delta-like protein 1","Other TMPs","DLL1","lung\SmallIntestine\Spleen\thymus"
"O00555","CAC1A_HUMAN","Voltage-dependent P/Q-type calcium channel subunit alpha-1A","Ion-channels","CACNA1A","brain\eye"
"O00559","RCAS1_HUMAN","Receptor-binding cancer antigen expressed on SiSo cells","Other TMPs","EBAG9","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O00574","CXCR6_HUMAN","C-X-C chemokine receptor type 6","GPCR","CXCR6","MAT\SCAT\Spleen"
"O00587","MFNG_HUMAN","Beta-1,3-N-acetylglucosaminyltransferase manic fringe","Other TMPs","MFNG","GAT\MAT\SCAT\Spleen"
"O00590","ACKR2_HUMAN","Atypical chemokine receptor 2","GPCR","ACKR2","BAT\GAT\lung\MAT\SCAT\skin\Spleen"
"O00592","PODXL_HUMAN","Podocalyxin","Other TMPs","PODXL","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00623","PEX12_HUMAN","Peroxisome assembly protein 12","Other TMPs","PEX12","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O00624","NPT3_HUMAN","Sodium-dependent phosphate transport protein 3/PI cotransporter 3","Other TMPs","SLC17A2","liver"
"O00631","SARCO_HUMAN","Sarcolipin","Other TMPs","SLN",""
"O00767","SCD_HUMAN","Stearoyl-CoA desaturase-desaturase","Other TMPs","SCD",""
"O14493","CLD4_HUMAN","Claudin-4","Ion-channels","CLDN4","eye\Kidney\lung\Pancreas\prostate\skin\SmallIntestine\Stomach\thymus\tongue\Ub"
"O14494","PLPP1_HUMAN","Phospholipid phosphatase 1","Other TMPs","PLPP1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14495","PLPP3_HUMAN","Phospholipid phosphatase 3","Other TMPs","PLPP3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14511","NRG2_HUMAN","Pro-neuregulin-2, membrane-bound isoform","Other TMPs","NRG2",""
"O14514","AGRB1_HUMAN","Adhesion G protein-coupled receptor B1","GPCR","ADGRB1","brain\eye"
"O14520","AQP7_HUMAN","Aquaporin-7","Other TMPs","AQP7","Ad\BAT\GAT\heart\Kidney\MAT\Muscle\prostate\SCAT\skin\SmallIntestine\Stomach\testis\thymus\tongue\Ub"
"O14521","DHSD_HUMAN","Succinate dehydrogenase cytochrome b small subunit, mitochondrial","Transporter","SDHD","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14522","PTPRT_HUMAN","Receptor-type tyrosine-protein phosphatase T","Catalytic receptors","PTPRT","brain\eye\Ub"
"O14523","C2C2L_HUMAN","Phospholipid transfer protein C2CD2L","Transporter","C2CD2L","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14524","NEMP1_HUMAN","Nuclear envelope integral membrane protein 1","Other TMPs","NEMP1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14525","ASTN1_HUMAN","Astrotactin-1","Other TMPs","ASTN1","Ad\brain\eye\MAT\Spleen\Stomach"
"O14569","C56D2_HUMAN","Transmembrane reductase CYB561D2","Transporter","CYB561D2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14626","GP171_HUMAN","G-protein coupled receptor 171","GPCR","GPR171","lung\MAT\SCAT\skin\SmallIntestine\Spleen\thymus"
"O14638","ENPP3_HUMAN","Ectonucleotide pyrophosphatase/phosphodiesterase family member 3","Other TMPs","ENPP3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14649","KCNK3_HUMAN","Potassium channel subfamily K member 3 channel 1 channel KT3.1","Ion-channels","KCNK3","Ad\BAT\brain\eye\heart\lung\prostate\SCAT\Stomach\thymus\Ub"
"O14653","GOSR2_HUMAN","Golgi SNAP receptor complex member 2","Transporter","GOSR2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14662","STX16_HUMAN","Syntaxin-16","Transporter","STX16","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14668","TMG1_HUMAN","Transmembrane gamma-carboxyglutamic acid protein 1","Other TMPs","PRRG1",""
"O14669","TMG2_HUMAN","Transmembrane gamma-carboxyglutamic acid protein 2","Other TMPs","PRRG2","SmallIntestine"
"O14672","ADA10_HUMAN","Disintegrin and metalloproteinase domain-containing protein 10","Other TMPs","ADAM10","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14678","ABCD4_HUMAN","Lysosomal cobalamin transporter ABCD4","Transporter","ABCD4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14681","EI24_HUMAN","Etoposide-induced protein 2.4 homolog","Other TMPs","EI24","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14683","P5I11_HUMAN","Tumor protein p53-inducible protein 11","Other TMPs","TP53I11",""
"O14684","PTGES_HUMAN","Prostaglandin E synthase","Other TMPs","PTGES","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14718","OPSX_HUMAN","Visual pigment-like receptor peropsin","GPCR","RRH","eye"
"O14735","CDIPT_HUMAN","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","Other TMPs","CDIPT","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14763","TR10B_HUMAN","Tumor necrosis factor receptor superfamily member 10B","Catalytic receptors","TNFRSF10B","Ad\BAT\brain\eye\GAT\heart\Kidney\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"O14764","GBRD_HUMAN","Gamma-aminobutyric acid receptor subunit delta receptor subunit delta","Ion-channels","GABRD","brain\eye"
"O14786","NRP1_HUMAN","Neuropilin-1","Other TMPs","NRP1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"O14788","TNF11_HUMAN","Tumor necrosis factor ligand superfamily member 11","Other TMPs","TNFSF11","MAT\SCAT\Spleen\thymus"
"O14817","TSN4_HUMAN","Tetraspanin-4","Other TMPs","TSPAN4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
