"protein","entry_name","description","family","gene_symbol","expression_tissue"
"O60242","AGRB3_HUMAN","Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)","GPCR","ADGRB3","AD/BRN/EYE/PRS/SPL"
"Q6QNK2","AGRD1_HUMAN","Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25) [Cleaved into: Adhesion G-protein coupled receptor D1, N-terminal fragment (ADGRD1 N-terminal fragment); Adhesion G-protein coupled receptor D1, C-terminal fragment (ADGRD1 C-terminal fragment)]","GPCR","ADGRD1","AD/BAT/GAT/LUN/MAT/PRS/SCAT/SKN/SIT/STM/TES/THM/TON/UB"
"Q14246","AGRE1_HUMAN","Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor)","GPCR","ADGRE1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9UHX3","AGRE2_HUMAN","Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)","GPCR","ADGRE2",""
"P48960","AGRE5_HUMAN","Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: Adhesion G protein-coupled receptor E5 subunit alpha; Adhesion G protein-coupled receptor E5 subunit beta]","GPCR","ADGRE5","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q5T601","AGRF1_HUMAN","Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110) (G protein-coupled receptor KPG_012) [Cleaved into: Adhesion G-protein coupled receptor F1, N-terminal fragment (ADGRF1 N-terminal fragment); Adhesion G-protein coupled receptor F1, C-terminal fragment (ADGRF1 C-terminal fragment)]","GPCR","ADGRF1","EYE/KID/LIV/PRS"
"Q8IZF5","AGRF3_HUMAN","Adhesion G-protein coupled receptor F3 (G-protein coupled receptor 113) (G-protein coupled receptor PGR23)","GPCR","ADGRF3","TES"
"Q8IZF2","AGRF5_HUMAN","Adhesion G protein-coupled receptor F5 (G-protein coupled receptor 116)","GPCR","ADGRF5","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9Y653","AGRG1_HUMAN","Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) [Cleaved into: Adhesion G-protein coupled receptor G1, N-terminal fragment (ADGRG1 N-terminal fragment) (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); Adhesion G-protein coupled receptor G1, C-terminal fragment (ADGRG1 C-terminal fragment) (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]","GPCR","ADGRG1","AD/BAT/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8IZP9","AGRG2_HUMAN","Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6) [Cleaved into: Adhesion G-protein coupled receptor G2, N-terminal fragment (ADGRG2 N-terminal fragment); Adhesion G-protein coupled receptor G2, C-terminal fragment (ADGRG2 C-terminal fragment)]","GPCR","ADGRG2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q86Y34","AGRG3_HUMAN","Adhesion G protein-coupled receptor G3 (G-protein coupled receptor 97) [Cleaved into: Adhesion G-protein coupled receptor G3, N-terminal fragment (ADGRG3 N-terminal fragment); Adhesion G-protein coupled receptor G3, C-terminal fragment (ADGRG3 C-terminal fragment)]","GPCR","ADGRG3","AD/GAT/LIV/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"Q8IZF4","AGRG5_HUMAN","Adhesion G-protein coupled receptor G5 (G-protein coupled receptor 114) (G-protein coupled receptor PGR27) [Cleaved into: Adhesion G-protein coupled receptor G5, N-terminal fragment (ADGRG5 N-terminal fragment); Adhesion G-protein coupled receptor G5, C-terminal fragment (ADGRG5 C-terminal fragment)]","GPCR","ADGRG5","MAT/SCAT/SIT/SPL/THM"
"Q86SQ4","AGRG6_HUMAN","Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: Adhesion G-protein coupled receptor G6, N-terminal fragment (ADGRG6 N-terminal fragment) (ADGRG6-NTF); Adhesion G-protein coupled receptor G6, C-terminal fragment (ADGRG6 C-terminal fragment) (ADGRG6-CTF)]","GPCR","ADGRG6","EYE/GAT/KID/LIV/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q96K78","AGRG7_HUMAN","Adhesion G-protein coupled receptor G7 (G-protein coupled receptor 128)","GPCR","ADGRG7","MAT/PRS/SIT/TES/THM"
"O94910","AGRL1_HUMAN","Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)","GPCR","ADGRL1","AD/BRN/EYE/GAT/KID/LIV/LUN/PRS/SKN/SIT/SPL/STM/TES/THM/UB"
"O95490","AGRL2_HUMAN","Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1)","GPCR","ADGRL2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9HAR2","AGRL3_HUMAN","Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)","GPCR","ADGRL3","AD/BAT/BRN/EYE/LUN/PRS/SCAT/SKN/SIT/SPL/STM/TES/UB"
"Q9HBW9","AGRL4_HUMAN","Adhesion G protein-coupled receptor L4 (EGF, latrophilin and seven transmembrane domain-containing protein 1) (EGF-TM7-latrophilin-related protein) (ETL protein)","GPCR","ADGRL4","AD/BAT/GAT/KID/LIV/LUN/MAT/SCAT/SKN/SPL/STM/UB"
"Q8WXG9","AGRV1_HUMAN","Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]","GPCR","ADGRV1","BAT/EYE/SIT/SPL"
"P30542","AA1R_HUMAN","Adenosine receptor A1","GPCR","ADORA1","AD/BRN/EYE/GAT/MAT/TES"
"P29274","AA2AR_HUMAN","Adenosine receptor A2a","GPCR","ADORA2A","AD/BRN/KID/LIV/LUN/MAT/SPL/THM"
"P29275","AA2BR_HUMAN","Adenosine receptor A2b","GPCR","ADORA2B","EYE/SIT/UB"
"P0DMS8","AA3R_HUMAN","Adenosine receptor A3","GPCR","ADORA3","SKN"
"P35348","ADA1A_HUMAN","Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)","GPCR","ADRA1A","AD/BAT/BRN/EYE/GAT/HRT/KID/LUN/MAT/PRS/SCAT/SKN/THM/UB"
"P35368","ADA1B_HUMAN","Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)","GPCR","ADRA1B","AD/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PRS/SCAT/SPL/TON/UB"
"P25100","ADA1D_HUMAN","Alpha-1D adrenergic receptor (Alpha-1A adrenergic receptor) (Alpha-1D adrenoreceptor) (Alpha-1D adrenoceptor) (Alpha-adrenergic receptor 1a)","GPCR","ADRA1D",""
"P08913","ADA2A_HUMAN","Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)","GPCR","ADRA2A","AD/BAT/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"P18089","ADA2B_HUMAN","Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)","GPCR","ADRA2B","BRN/KID/LIV/SIT/SPL"
"P18825","ADA2C_HUMAN","Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)","GPCR","ADRA2C","BRN/EYE"
"P08588","ADRB1_HUMAN","Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)","GPCR","ADRB1","BAT/BRN/EYE/GAT/HRT/KID/LUN/MAT/PCR/SPL/THM"
"P07550","ADRB2_HUMAN","Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)","GPCR","ADRB2","BAT/BRN/EYE/GAT/KID/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"P13945","ADRB3_HUMAN","Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor)","GPCR","ADRB3","AD/BAT/GAT/KID/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"P30556","AGTR1_HUMAN","Type-1 angiotensin II receptor (AT1AR) (AT1BR) (Angiotensin II type-1 receptor) (AT1 receptor)","GPCR","AGTR1",""
"P50052","AGTR2_HUMAN","Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2 receptor)","GPCR","AGTR2","AD/BRN/PRS/SKN/STM/TES/TON/UB"
"P35414","APJ_HUMAN","Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)","GPCR","APLNR",""
"P37288","V1AR_HUMAN","Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor)","GPCR","AVPR1A","AD/BAT/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P47901","V1BR_HUMAN","Vasopressin V1b receptor (V1bR) (AVPR V1b) (AVPR V3) (Antidiuretic hormone receptor 1b) (Vasopressin V3 receptor)","GPCR","AVPR1B",""
"P30518","V2R_HUMAN","Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)","GPCR","AVPR2","KID"
"P46663","BKRB1_HUMAN","B1 bradykinin receptor (B1R) (BK-1 receptor)","GPCR","BDKRB1",""
"P30411","BKRB2_HUMAN","B2 bradykinin receptor (B2R) (BK-2 receptor)","GPCR","BDKRB2","AD/LUN/THM/UB"
"Q16581","C3AR_HUMAN","C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R)","GPCR","C3AR1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P21730","C5AR1_HUMAN","C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)","GPCR","C5AR1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9P296","C5AR2_HUMAN","C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77)","GPCR","C5AR2","LIV/MAT/SCAT/SPL"
"P30988","CALCR_HUMAN","Calcitonin receptor (CT-R)","GPCR","CALCR","BAT/BRN/EYE/GAT/LIV/LUN/MAT/SKM/SCAT/SPL/THM"
"Q16602","CALRL_HUMAN","Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor) (CRLR)","GPCR","CALCRL","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P41180","CASR_HUMAN","Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)","GPCR","CASR","BRN/KID/PCR/SKN/SIT/STM/THM/UB"
"P32238","CCKAR_HUMAN","Cholecystokinin receptor type A (CCK-A receptor) (CCK-AR) (Cholecystokinin-1 receptor) (CCK1-R)","GPCR","CCKAR","AD/KID/LUN/MAT/PCR/SIT/SPL/STM"
"P32239","GASR_HUMAN","Gastrin/cholecystokinin type B receptor (CCK-B receptor) (CCK-BR) (Cholecystokinin-2 receptor) (CCK2-R)","GPCR","CCKBR","BRN/EYE/STM"
"P32246","CCR1_HUMAN","C-C chemokine receptor type 1 (C-C CKR-1) (CC-CKR-1) (CCR-1) (CCR1) (HM145) (LD78 receptor) (Macrophage inflammatory protein 1-alpha receptor) (MIP-1alpha-R) (RANTES-R) (CD antigen CD191)","GPCR","CCR1","AD/BAT/GAT/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"P46092","CCR10_HUMAN","C-C chemokine receptor type 10 (C-C CKR-10) (CC-CKR-10) (CCR-10) (G-protein coupled receptor 2)","GPCR","CCR10","SIT/SPL/THM"
"P41597","CCR2_HUMAN","C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)","GPCR","CCR2","AD/BAT/GAT/KID/LIV/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P51677","CCR3_HUMAN","C-C chemokine receptor type 3 (C C CKR3) (C-C CKR-3) (CC-CKR-3) (CCR-3) (CCR3) (CKR 3) (CKR3) (Eosinophil eotaxin receptor) (CD antigen CD193)","GPCR","CCR3","GAT/MAT/SCAT/SKN/SIT/SPL/THM"
"P51679","CCR4_HUMAN","C-C chemokine receptor type 4 (C-C CKR-4) (CC-CKR-4) (CCR-4) (CCR4) (K5-5) (CD antigen CD194)","GPCR","CCR4","MAT/SCAT/SPL/THM"
"P51681","CCR5_HUMAN","C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195)","GPCR","CCR5","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P51684","CCR6_HUMAN","C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196)","GPCR","CCR6","LUN/MAT/SCAT/SKN/SIT/SPL/THM"
"P32248","CCR7_HUMAN","C-C chemokine receptor type 7 (C-C CKR-7) (CC-CKR-7) (CCR-7) (BLR2) (CDw197) (Epstein-Barr virus-induced G-protein coupled receptor 1) (EBI1) (EBV-induced G-protein coupled receptor 1) (MIP-3 beta receptor) (CD antigen CD197)","GPCR","CCR7","GAT/LUN/MAT/SKM/PCR/SCAT/SKN/SIT/SPL/THM/UB"
"P51685","CCR8_HUMAN","C-C chemokine receptor type 8 (C-C CKR-8) (CC-CKR-8) (CCR-8) (CC chemokine receptor CHEMR1) (CMKBRL2) (Chemokine receptor-like 1) (CKR-L1) (GPR-CY6) (GPRCY6) (TER1) (CD antigen CDw198)","GPCR","CCR8","SPL/STM/THM"
"P51686","CCR9_HUMAN","C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199)","GPCR","CCR9","MAT/SPL/THM"
"O00421","CCRL2_HUMAN","C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)","GPCR","CCRL2","AD/GAT/KID/LUN/MAT/PCR/SKN/SIT/SPL/THM/UB"
"Q9NYQ6","CELR1_HUMAN","Cadherin EGF LAG seven-pass G-type receptor 1 (Cadherin family member 9) (Flamingo homolog 2) (hFmi2)","GPCR","CELSR1","BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON"
"Q9HCU4","CELR2_HUMAN","Cadherin EGF LAG seven-pass G-type receptor 2 (Cadherin family member 10) (Epidermal growth factor-like protein 2) (EGF-like protein 2) (Flamingo homolog 3) (Multiple epidermal growth factor-like domains protein 3) (Multiple EGF-like domains protein 3)","GPCR","CELSR2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NYQ7","CELR3_HUMAN","Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2)","GPCR","CELSR3","BRN/EYE/GAT/KID/MAT/SPL"
"P11229","ACM1_HUMAN","Muscarinic acetylcholine receptor M1","GPCR","CHRM1","AD/BRN/EYE/PCR/PRS/SIT/STM/UB"
"P08172","ACM2_HUMAN","Muscarinic acetylcholine receptor M2","GPCR","CHRM2","BRN/EYE/HRT/LUN/MAT/PRS/SIT/SPL/STM/UB"
"P20309","ACM3_HUMAN","Muscarinic acetylcholine receptor M3","GPCR","CHRM3","AD/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SIT/SPL/STM/TON/UB"
"P08173","ACM4_HUMAN","Muscarinic acetylcholine receptor M4","GPCR","CHRM4","BRN"
"P08912","ACM5_HUMAN","Muscarinic acetylcholine receptor M5","GPCR","CHRM5","BRN"
"Q99788","CML1_HUMAN","Chemerin-like receptor 1 (Chemokine-like receptor 1) (G-protein coupled receptor ChemR23) (G-protein coupled receptor DEZ)","GPCR","CMKLR1","AD/BAT/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P46091","CML2_HUMAN","Chemerin-like receptor 2 (Chemerin chemokine-like receptor 2) (Chemokine-like receptor 2) (G-protein coupled receptor 1)","GPCR","CMKLR2","SCAT/SKN/THM/TON/UB"
"P21554","CNR1_HUMAN","Cannabinoid receptor 1 (CB-R) (CB1) (CANN6)","GPCR","CNR1","AD/BRN/EYE/SCAT/SIT/STM"
"P34972","CNR2_HUMAN","Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)","GPCR","CNR2","AD/KID/LIV/LUN/MAT/SCAT/SPL/THM"
"P34998","CRFR1_HUMAN","Corticotropin-releasing factor receptor 1 (CRF-R-1) (CRF-R1) (CRFR-1) (Corticotropin-releasing hormone receptor 1) (CRH-R-1) (CRH-R1)","GPCR","CRHR1","BAT/BRN/EYE/HRT/SKM/SKN/SPL/TON"
"Q13324","CRFR2_HUMAN","Corticotropin-releasing factor receptor 2 (CRF-R-2) (CRF-R2) (CRFR-2) (Corticotropin-releasing hormone receptor 2) (CRH-R-2) (CRH-R2)","GPCR","CRHR2","SKM"
"P49238","CX3C1_HUMAN","CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28)","GPCR","CX3CR1","AD/BRN/EYE/KID/LUN/MAT/PCR/PRS/SKN/SIT/SPL/STM/TES/THM"
"P25024","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)","GPCR","CXCR1",""
"P25025","CXCR2_HUMAN","C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182)","GPCR","CXCR2","LUN/MAT/SCAT/SPL"
"P49682","CXCR3_HUMAN","C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183)","GPCR","CXCR3","GAT/LUN/MAT/SCAT/SKN/SIT/SPL/THM/TON"
"P61073","CXCR4_HUMAN","C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)","GPCR","CXCR4","AD/BAT/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/TES/THM"
"P32302","CXCR5_HUMAN","C-X-C chemokine receptor type 5 (CXC-R5) (CXCR-5) (Burkitt lymphoma receptor 1) (Monocyte-derived receptor 15) (MDR-15) (CD antigen CD185)","GPCR","CXCR5","MAT/SCAT/SPL"
"O00574","CXCR6_HUMAN","C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)","GPCR","CXCR6","MAT/SCAT/SPL"
"Q9Y271","CLTR1_HUMAN","Cysteinyl leukotriene receptor 1 (CysLTR1) (Cysteinyl leukotriene D4 receptor) (LTD4 receptor) (G-protein coupled receptor HG55) (HMTMF81)","GPCR","CYSLTR1","GAT/LUN/MAT/SCAT/SKN/SIT/STM/THM"
"Q9NS75","CLTR2_HUMAN","Cysteinyl leukotriene receptor 2 (CysLTR2) (G-protein coupled receptor GPCR21) (hGPCR21) (G-protein coupled receptor HG57) (HPN321)","GPCR","CYSLTR2","THM"
"P21728","DRD1_HUMAN","D(1A) dopamine receptor (Dopamine D1 receptor)","GPCR","DRD1","BRN/EYE"
"P14416","DRD2_HUMAN","D(2) dopamine receptor (Dopamine D2 receptor)","GPCR","DRD2","BRN/EYE"
"P35462","DRD3_HUMAN","D(3) dopamine receptor (Dopamine D3 receptor)","GPCR","DRD3",""
"P21917","DRD4_HUMAN","D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor)","GPCR","DRD4","EYE/TES"
"P21918","DRD5_HUMAN","D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor)","GPCR","DRD5","BRN"
"P25101","EDNRA_HUMAN","Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ETA-R) (hET-AR)","GPCR","EDNRA","AD/BAT/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P24530","EDNRB_HUMAN","Endothelin receptor type B (ET-B) (ET-BR) (Endothelin receptor non-selective type)","GPCR","EDNRB","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"P25116","PAR1_HUMAN","Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor)","GPCR","F2R","AD/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"P55085","PAR2_HUMAN","Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1) [Cleaved into: Proteinase-activated receptor 2, alternate cleaved 1; Proteinase-activated receptor 2, alternate cleaved 2]","GPCR","F2RL1","KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"O00254","PAR3_HUMAN","Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)","GPCR","F2RL2","AD/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SKN/SIT/SPL/STM/THM/TON/UB"
