"protein","entry_name","description","family","gene_symbol","expression_tissue"
"Q16570","ACKR1_HUMAN","Atypical chemokine receptor 1 (Duffy antigen receptor for chemokines) (Duffy antigen/chemokine receptor) (Duffy blood group antigen) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234)","GPCR","ACKR1","AD/BAT/GAT/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"O00590","ACKR2_HUMAN","Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)","GPCR","ACKR2","GAT/LUN/MAT/SCAT/SKN/SPL"
"P25106","ACKR3_HUMAN","Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)","GPCR","ACKR3","AD/BAT/BRN/EYE/GAT/HRT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9NPB9","ACKR4_HUMAN","Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR)","GPCR","ACKR4","LUN/MAT/SKN/SPL/THM"
"O15218","ACKR5_HUMAN","Atypical chemokine receptor 5 (G-protein coupled receptor 182)","GPCR","ACKR5",""
"P41586","PACR_HUMAN","Pituitary adenylate cyclase-activating polypeptide type I receptor (PAC1 receptor) (PAC1R) (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)","GPCR","ADCYAP1R1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"Q96PE1","AGRA2_HUMAN","Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)","GPCR","ADGRA2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8IWK6","AGRA3_HUMAN","Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125)","GPCR","ADGRA3","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"O14514","AGRB1_HUMAN","Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]","GPCR","ADGRB1","BRN/EYE"
"O60241","AGRB2_HUMAN","Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)","GPCR","ADGRB2","AD/BRN/EYE/SCAT/SPL"
